No.,Pos.,Player,"Date of birth
(age)",Caps,Goals,Club,Squad
1,GK,Matěj Kovář,"May 17, 2000
(aged 26)",20,0,"PSV
Eindhoven",Czech Republic
2,DF,David Zima,"November 8,
2000 (aged 25)",25,1,"Slavia
Prague",Czech Republic
3,DF,Tomáš Holeš,"March 31, 1993
(aged 33)",41,2,"Slavia
Prague",Czech Republic
4,DF,Robin Hranáč,"January 29,
2000 (aged 26)",14,1,"TSG
Hoffenheim",Czech Republic
5,DF,Vladimír Coufal,"August 22,
1992 (aged 33)",62,2,"TSG
Hoffenheim",Czech Republic
6,DF,Štěpán Chaloupek,"March 8, 2003
(aged 23)",5,0,"Slavia
Prague",Czech Republic
7,DF,"Ladislav Krejčí
(captain)","April 20, 1999
(aged 27)",27,5,"Wolverhampton
Wanderers",Czech Republic
8,MF,Vladimír Darida,"August 8, 1990
(aged 35)",79,8,"Hradec
Králové",Czech Republic
9,FW,Adam Hložek,"July 25, 2002
(aged 23)",43,5,"TSG
Hoffenheim",Czech Republic
10,FW,Patrik Schick,"January 24,
1996 (aged 30)",53,26,"Bayer
Leverkusen",Czech Republic
11,FW,Jan Kuchta,"January 8,
1997 (aged 29)",31,3,"Sparta
Prague",Czech Republic
12,MF,Lukáš Červ,"April 10, 2001
(aged 25)",17,2,"Viktoria
Plzeň",Czech Republic
13,FW,Mojmír Chytil,"April 29, 1999
(aged 27)",22,6,"Slavia
Prague",Czech Republic
14,DF,David Jurásek,"August 7, 2000
(aged 25)",18,1,"Slavia
Prague",Czech Republic
15,FW,Pavel Šulc,"December 29,
2000 (aged 25)",21,5,Lyon,Czech Republic
16,GK,Jindřich Staněk,"April 27, 1996
(aged 30)",14,0,"Slavia
Prague",Czech Republic
17,MF,Lukáš Provod,"October 23,
1996 (aged 29)",38,3,"Slavia
Prague",Czech Republic
18,MF,Michal Sadílek,"May 31, 1999
(aged 27)",35,1,"Slavia
Prague",Czech Republic
19,FW,Tomáš Chorý,"January 26,
1995 (aged 31)",22,7,"Slavia
Prague",Czech Republic
,,,,,,,Czech Republic
20,DF,Jaroslav Zelený,"August 20,
1992 (aged 33)",23,0,"Sparta
Prague",Czech Republic
21,DF,David Douděra,"May 31, 1998
(aged 28)",17,2,"Slavia
Prague",Czech Republic
22,MF,Tomáš Souček,"February 27,
1995 (aged 31)",90,17,"West Ham
United",Czech Republic
23,GK,Lukáš Horníček,"July 13, 2002
(aged 23)",1,0,Braga,Czech Republic
24,MF,Alexandr Sojka,"April 2, 2003
(aged 23)",2,0,"Viktoria
Plzeň",Czech Republic
25,MF,Hugo Sochůrek,"June 7, 2008
(aged 18)",1,0,"Sparta
Prague",Czech Republic
26,FW,Denis Višinský,"March 21, 2003
(aged 23)",2,1,"Viktoria
Plzeň",Czech Republic
